amplitude,path,subset,true_class
6e-24,./raw data/simulated signal on gaussian white noise background/0.06e-22/GREYfiles_47_NOISEnum_023_.mat,1,0
6e-24,./raw data/simulated signal on gaussian white noise background/0.06e-22/GREYfiles_46_NOISEnum_089_.mat,5,0
9e-25,./raw data/simulated signal on gaussian white noise background/0.009e-22/GREYfiles_87_SIGnum_014_.mat,9,1
2.0000000000000002e-24,./raw data/simulated signal on gaussian white noise background/0.02e-22/GREYfiles_76_NOISEnum_036_.mat,3,0
4.0000000000000004e-24,./raw data/simulated signal on gaussian white noise background/0.04e-22/GREYfiles_57_NOISEnum_019_.mat,7,0
4.0000000000000004e-24,./raw data/simulated signal on gaussian white noise background/0.04e-22/GREYfiles_58_NOISEnum_027_.mat,0,0
4.0000000000000004e-24,./raw data/simulated signal on gaussian white noise background/0.04e-22/GREYfiles_54_NOISEnum_032_.mat,7,0
7.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.07e-22/GREYfiles_34_NOISEnum_063_.mat,0,0
8.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.08e-22/GREYfiles_24_NOISEnum_093_.mat,4,0
1.0000000000000001e-23,./raw data/simulated signal on gaussian white noise background/0.1e-22/GREYfiles_51_SIGnum_052_.mat,9,1
2.0000000000000002e-24,./raw data/simulated signal on gaussian white noise background/0.02e-22/GREYfiles_78_SIGnum_050_.mat,4,1
9e-24,./raw data/simulated signal on gaussian white noise background/0.09e-22/GREYfiles_23_SIGnum_100_.mat,4,1
6e-24,./raw data/simulated signal on gaussian white noise background/0.06e-22/GREYfiles_47_NOISEnum_001_.mat,0,0
1.0000000000000001e-23,./raw data/simulated signal on gaussian white noise background/0.1e-22/GREYfiles_52_SIGnum_043_.mat,9,1
4.0000000000000004e-24,./raw data/simulated signal on gaussian white noise background/0.04e-22/GREYfiles_55_SIGnum_040_.mat,2,1
9e-24,./raw data/simulated signal on gaussian white noise background/0.09e-22/GREYfiles_23_NOISEnum_005_.mat,4,0
9e-25,./raw data/simulated signal on gaussian white noise background/0.009e-22/GREYfiles_86_SIGnum_004_.mat,7,1
7.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.07e-22/GREYfiles_38_NOISEnum_021_.mat,3,0
5.0000000000000005e-25,./raw data/simulated signal on gaussian white noise background/0.005e-22/GREYfiles_91_SIGnum_068_.mat,4,1
8e-25,./raw data/simulated signal on gaussian white noise background/0.008e-22/GREYfiles_81_SIGnum_053_.mat,1,1
8e-25,./raw data/simulated signal on gaussian white noise background/0.008e-22/GREYfiles_81_NOISEnum_049_.mat,0,0
8.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.08e-22/GREYfiles_26_SIGnum_027_.mat,6,1
3e-24,./raw data/simulated signal on gaussian white noise background/0.03e-22/GREYfiles_66_NOISEnum_010_.mat,6,0
8.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.08e-22/GREYfiles_29_NOISEnum_006_.mat,2,0
1.0000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.01e-22/GREYfiles_70_SIGnum_045_.mat,7,1
6e-24,./raw data/simulated signal on gaussian white noise background/0.06e-22/GREYfiles_47_SIGnum_025_.mat,0,1
1.0000000000000001e-23,./raw data/simulated signal on gaussian white noise background/0.1e-22/GREYfiles_51_SIGnum_074_.mat,5,1
4.0000000000000004e-24,./raw data/simulated signal on gaussian white noise background/0.04e-22/GREYfiles_59_SIGnum_014_.mat,2,1
1.0000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.01e-22/GREYfiles_71_NOISEnum_038_.mat,1,0
7e-25,./raw data/simulated signal on gaussian white noise background/0.007e-22/GREYfiles_94_SIGnum_090_.mat,5,1
9e-25,./raw data/simulated signal on gaussian white noise background/0.009e-22/GREYfiles_87_NOISEnum_073_.mat,2,0
4.0000000000000004e-24,./raw data/simulated signal on gaussian white noise background/0.04e-22/GREYfiles_59_SIGnum_099_.mat,0,1
8e-25,./raw data/simulated signal on gaussian white noise background/0.008e-22/GREYfiles_82_NOISEnum_033_.mat,1,0
9e-24,./raw data/simulated signal on gaussian white noise background/0.09e-22/GREYfiles_22_SIGnum_093_.mat,7,1
5.0000000000000005e-24,./raw data/simulated signal on gaussian white noise background/0.05e-22/GREYfiles_62_NOISEnum_079_.mat,6,0
8e-25,./raw data/simulated signal on gaussian white noise background/0.008e-22/GREYfiles_82_SIGnum_063_.mat,6,1
5.0000000000000005e-25,./raw data/simulated signal on gaussian white noise background/0.005e-22/GREYfiles_90_NOISEnum_062_.mat,8,0
4.0000000000000004e-24,./raw data/simulated signal on gaussian white noise background/0.04e-22/GREYfiles_56_SIGnum_066_.mat,9,1
6e-24,./raw data/simulated signal on gaussian white noise background/0.06e-22/GREYfiles_48_SIGnum_057_.mat,2,1
7.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.07e-22/GREYfiles_37_SIGnum_067_.mat,4,1
9e-24,./raw data/simulated signal on gaussian white noise background/0.09e-22/GREYfiles_20_SIGnum_051_.mat,7,1
6e-24,./raw data/simulated signal on gaussian white noise background/0.06e-22/GREYfiles_44_NOISEnum_073_.mat,2,0
5.0000000000000005e-24,./raw data/simulated signal on gaussian white noise background/0.05e-22/GREYfiles_60_NOISEnum_034_.mat,8,0
1.0000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.01e-22/GREYfiles_70_NOISEnum_088_.mat,3,0
9e-25,./raw data/simulated signal on gaussian white noise background/0.009e-22/GREYfiles_88_SIGnum_062_.mat,8,1
1.0000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.01e-22/GREYfiles_72_NOISEnum_077_.mat,1,0
6e-24,./raw data/simulated signal on gaussian white noise background/0.06e-22/GREYfiles_48_SIGnum_071_.mat,7,1
6.0000000000000005e-25,./raw data/simulated signal on gaussian white noise background/0.006e-22/GREYfiles_105_NOISEnum_028_.mat,4,0
5.0000000000000005e-25,./raw data/simulated signal on gaussian white noise background/0.005e-22/GREYfiles_92_NOISEnum_017_.mat,9,0
6.0000000000000005e-25,./raw data/simulated signal on gaussian white noise background/0.006e-22/GREYfiles_101_NOISEnum_047_.mat,6,0
9e-24,./raw data/simulated signal on gaussian white noise background/0.09e-22/GREYfiles_21_SIGnum_014_.mat,3,1
9e-25,./raw data/simulated signal on gaussian white noise background/0.009e-22/GREYfiles_86_SIGnum_012_.mat,0,1
5.0000000000000005e-24,./raw data/simulated signal on gaussian white noise background/0.05e-22/GREYfiles_60_SIGnum_019_.mat,4,1
7e-25,./raw data/simulated signal on gaussian white noise background/0.007e-22/GREYfiles_94_SIGnum_028_.mat,6,1
2.0000000000000002e-24,./raw data/simulated signal on gaussian white noise background/0.02e-22/GREYfiles_78_NOISEnum_053_.mat,8,0
7.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.07e-22/GREYfiles_39_NOISEnum_090_.mat,0,0
4.0000000000000004e-24,./raw data/simulated signal on gaussian white noise background/0.04e-22/GREYfiles_54_NOISEnum_020_.mat,8,0
8e-25,./raw data/simulated signal on gaussian white noise background/0.008e-22/GREYfiles_81_NOISEnum_014_.mat,9,0
9e-24,./raw data/simulated signal on gaussian white noise background/0.09e-22/GREYfiles_20_NOISEnum_026_.mat,8,0
6e-24,./raw data/simulated signal on gaussian white noise background/0.06e-22/GREYfiles_49_SIGnum_079_.mat,7,1
6e-24,./raw data/simulated signal on gaussian white noise background/0.06e-22/GREYfiles_45_SIGnum_088_.mat,1,1
2.0000000000000002e-24,./raw data/simulated signal on gaussian white noise background/0.02e-22/GREYfiles_79_SIGnum_041_.mat,7,1
4.0000000000000004e-24,./raw data/simulated signal on gaussian white noise background/0.04e-22/GREYfiles_59_SIGnum_030_.mat,0,1
3e-24,./raw data/simulated signal on gaussian white noise background/0.03e-22/GREYfiles_68_NOISEnum_026_.mat,7,0
5.0000000000000005e-24,./raw data/simulated signal on gaussian white noise background/0.05e-22/GREYfiles_61_NOISEnum_004_.mat,7,0
7.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.07e-22/GREYfiles_37_NOISEnum_051_.mat,4,0
1.0000000000000001e-23,./raw data/simulated signal on gaussian white noise background/0.1e-22/GREYfiles_50_NOISEnum_006_.mat,7,0
8e-25,./raw data/simulated signal on gaussian white noise background/0.008e-22/GREYfiles_80_SIGnum_078_.mat,8,1
6e-24,./raw data/simulated signal on gaussian white noise background/0.06e-22/GREYfiles_49_SIGnum_058_.mat,1,1
6.0000000000000005e-25,./raw data/simulated signal on gaussian white noise background/0.006e-22/GREYfiles_106_NOISEnum_080_.mat,3,0
6.0000000000000005e-25,./raw data/simulated signal on gaussian white noise background/0.006e-22/GREYfiles_106_NOISEnum_070_.mat,1,0
1.0000000000000001e-23,./raw data/simulated signal on gaussian white noise background/0.1e-22/GREYfiles_52_NOISEnum_061_.mat,1,0
7.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.07e-22/GREYfiles_34_NOISEnum_054_.mat,0,0
7.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.07e-22/GREYfiles_38_NOISEnum_069_.mat,4,0
8.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.08e-22/GREYfiles_27_SIGnum_034_.mat,7,1
9e-25,./raw data/simulated signal on gaussian white noise background/0.009e-22/GREYfiles_88_SIGnum_059_.mat,8,1
5.0000000000000005e-24,./raw data/simulated signal on gaussian white noise background/0.05e-22/GREYfiles_60_SIGnum_041_.mat,6,1
7e-25,./raw data/simulated signal on gaussian white noise background/0.007e-22/GREYfiles_98_SIGnum_100_.mat,6,1
5.0000000000000005e-24,./raw data/simulated signal on gaussian white noise background/0.05e-22/GREYfiles_61_SIGnum_024_.mat,7,1
7e-25,./raw data/simulated signal on gaussian white noise background/0.007e-22/GREYfiles_94_SIGnum_099_.mat,1,1
7e-25,./raw data/simulated signal on gaussian white noise background/0.007e-22/GREYfiles_95_NOISEnum_040_.mat,1,0
3e-24,./raw data/simulated signal on gaussian white noise background/0.03e-22/GREYfiles_66_SIGnum_015_.mat,8,1
9e-24,./raw data/simulated signal on gaussian white noise background/0.09e-22/GREYfiles_21_NOISEnum_032_.mat,0,0
8.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.08e-22/GREYfiles_26_NOISEnum_051_.mat,0,0
3e-24,./raw data/simulated signal on gaussian white noise background/0.03e-22/GREYfiles_65_SIGnum_066_.mat,1,1
2.0000000000000002e-24,./raw data/simulated signal on gaussian white noise background/0.02e-22/GREYfiles_74_NOISEnum_060_.mat,3,0
7e-25,./raw data/simulated signal on gaussian white noise background/0.007e-22/GREYfiles_95_NOISEnum_092_.mat,0,0
8.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.08e-22/GREYfiles_25_NOISEnum_035_.mat,3,0
3e-24,./raw data/simulated signal on gaussian white noise background/0.03e-22/GREYfiles_69_SIGnum_037_.mat,5,1
9e-24,./raw data/simulated signal on gaussian white noise background/0.09e-22/GREYfiles_22_SIGnum_094_.mat,0,1
6.0000000000000005e-25,./raw data/simulated signal on gaussian white noise background/0.006e-22/GREYfiles_106_SIGnum_088_.mat,5,1
8.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.08e-22/GREYfiles_26_SIGnum_003_.mat,6,1
9e-24,./raw data/simulated signal on gaussian white noise background/0.09e-22/GREYfiles_22_NOISEnum_006_.mat,6,0
8.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.08e-22/GREYfiles_26_NOISEnum_004_.mat,1,0
8e-25,./raw data/simulated signal on gaussian white noise background/0.008e-22/GREYfiles_81_SIGnum_099_.mat,8,1
6e-24,./raw data/simulated signal on gaussian white noise background/0.06e-22/GREYfiles_46_NOISEnum_056_.mat,1,0
3e-24,./raw data/simulated signal on gaussian white noise background/0.03e-22/GREYfiles_65_SIGnum_068_.mat,2,1
2.0000000000000002e-24,./raw data/simulated signal on gaussian white noise background/0.02e-22/GREYfiles_78_SIGnum_054_.mat,4,1
4.0000000000000004e-24,./raw data/simulated signal on gaussian white noise background/0.04e-22/GREYfiles_58_SIGnum_047_.mat,0,1
9e-24,./raw data/simulated signal on gaussian white noise background/0.09e-22/GREYfiles_23_NOISEnum_081_.mat,4,0
8.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.08e-22/GREYfiles_26_SIGnum_092_.mat,4,1
6.0000000000000005e-25,./raw data/simulated signal on gaussian white noise background/0.006e-22/GREYfiles_101_SIGnum_099_.mat,7,1
8.000000000000001e-24,./raw data/simulated signal on gaussian white noise background/0.08e-22/GREYfiles_28_SIGnum_045_.mat,8,1
4.0000000000000004e-24,./raw data/simulated signal on gaussian white noise background/0.04e-22/GREYfiles_55_NOISEnum_077_.mat,6,0
